subject,topic,start_date,completed_intervals,history,memo,planned_times
확통,시발점 2강,2026-05-08,0,0:2026-05-10,,14:00-15:30
영어,5모 분석,2026-05-08,"0,1","0:2026-05-10,1:2026-05-10",32 33 38 39 40,
국어,5모 오답,2026-05-08,"0,1","0:2026-05-10,1:2026-05-10",,
영어,자이 1개,2026-05-09,,,,09:00-10:00
영어,20분 고난도 24회,2026-05-09,,,,09:00-10:00
영어,수특 3단원,2026-05-10,,,,09:00-10:00
사문,불명 2강,2026-05-09,0,0:2026-05-10,18강,
미적,시발점 복습,2026-05-09,,,,09:00-10:00
국어,"수특 문학 고전시가 2, 4, 6강",2026-05-09,0,0:2026-05-10,학원 필기,
사문,불명 2강,2026-05-10,,,,09:00-10:00
